Product Brand Name ,Product Technical Name ,Product Title,Product Body,Product Image,Vendor,Category,Sub-Category,Availability,Average Rating ,No. of Reviews,Packing Sizes,Variant 1 (Selling Price) 10litre,Variant 1 (MRP),Variant 2 Selling Price) 30litre,Variant 2 (MRP),Variant 3 Selling Price) 50litre,Variant 3 (MRP),Variant 4 Selling Price),Variant 4 (MRP)
Thioshield ,Thiamethoxam 12.6% + Lambda Cyhalothrin 9.5% ZC,Thioshield Thiamethoxam 12.6% + Lambda Cyhalothrin 9.5% ZC Insecticide for Sucking & Chewing Pest Control,"Thioshield Thiamethoxam 12.6% + Lambda Cyhalothrin 9.5% ZC is a dual-action insecticide designed to control both sucking pests and chewing insects in crops.

Farmers often face pest problems like aphids, jassids, whiteflies, and caterpillars, especially during warm and humid conditions. These pests reduce crop growth and yield.

This insecticide helps manage these pests effectively and supports healthy plant growth and crop protection.

Nutrient Composition / Technical Composition
Active Ingredient: Thiamethoxam 12.6% + Lambda Cyhalothrin 9.5%
Formulation: ZC (Mixed formulation – suspension + capsule)
Type: Insecticide (Systemic + Contact action)
Category: Dual Mode Insecticide
 Key Benefits 
Controls sucking pests (aphids, jassids, whiteflies)
Effective against chewing pests and caterpillars
Provides quick knockdown and longer residual effect
Improves plant health by reducing pest damage
Helps maintain leaf quality and crop vigor
Supports better yield and crop quality
Suitable Crops
Suitable for multiple crops:

Cotton
Chilli
Tomato
Paddy (Rice)
Groundnut
Vegetables
Pulses
 Dosage and Application Method
Recommended Dosage
Application Type        Dose
Foliar Spray        100 – 120 ml per Acre
Per Liter Water        0.5 – 0.6 ml per Liter
Application Method
Mix recommended dose in 150–200 liters of water per acre
Spray uniformly on crop foliage
Apply at early stage of pest infestation",https://drive.google.com/file/d/1W7SAzEeSJJ1gFwPKpxp4wopML4bbdI1p/view?usp=drive_link,Krishikranti Organics,Chemical Insecticide,Chemical,In Stock,4.3,9,100ml,1020/lit,2700/lit,1000/lit,2700/lit,800/lit,2700/lit,,
,,,,,,,,,,,250ml,980/lit,2400/lit,960/lit,2400/lit,740/lit,2400/lit,,
,,,,,,,,,,,500ml,940/lit,2300/lit,920/lit,2300/lit,720/lit,2300/lit,,
,,,,,,,,,,,1lit,920/lit,2200/lit,900/lit,2200/lit,700/lit,2200/lit,,
Product Brand Name ,Product Technical Name ,,,,,,,,,,Packing Sizes,Variant 1 (Selling Price) 10kg,Variant 1 (MRP),Variant 2 Selling Price) 30kg,Variant 2 (MRP),Variant 3 Selling Price) 50kg,Variant 3 (MRP),,
Emaan ,Emamectin Benzoate 5% SG,Emaan Emamectin Benzoate 5% SG Insecticide for Caterpillar & Borer Control,"Emaan Emamectin Benzoate 5% SG is a systemic insecticide used to control caterpillar pests and borers in crops.

Pests like fruit borers, bollworms, and leaf-eating caterpillars damage crops by feeding on leaves, flowers, and fruits, leading to heavy yield loss.

This product is suitable for farmers who need quick and effective control of larvae, especially during active infestation stages.

Technical Composition
Active Ingredient: Emamectin Benzoate 5% SG

Benefits of Emamectin Benzoate 5% sg 
Effective control of caterpillars and borers
Fast action – pests stop feeding quickly
Translaminar action reaches hidden pests
Long-lasting protection reduces repeat sprays
Protects fruits, flowers, and leaves
Helps improve crop quality and yield
Suitable Crops
Recommended for use in:

Cotton
Chilli
Tomato
Cabbage
Okra
Pigeon Pea (Arhar)
Vegetables
Dosage & Application Method
Application Type	Dosage
Per Liter Water	0.4 – 0.5 gm per Liter
Per Acre	80 – 100 gm per Acre
Method	Foliar Spray
Application Guidelines
Spray at early larval stage for best results
Ensure uniform coverage on both sides of leaves
Use recommended water volume for proper spray
Avoid spraying during strong sunlight or rainfall
Follow label instructions carefully",https://drive.google.com/file/d/1Kzipjs1DG6-swkjKNSN_eMZrEmkQDAn0/view?usp=drive_link,Krishikranti Organics,Chemical Insecticide,Chemical,In Stock,4.1,11,100gm,1150/kg,4200/kg,940/kg,4200/kg,900/kg,4200/kg,,
,,,,,,,,,,,250gm,990/kg,3700/kg,880/kg,3700/kg,850/kg,3700/kg,,
,,,,,,,,,,,500gm,940/kg,3600/kg,830/kg,3600/kg,810/kg,3600/kg,,
,,,,,,,,,,,1kg,900/kg,3500/kg,800/kg,3500/kg,800/kg,3500/kg,,
Product Brand Name ,Product Technical Name ,,,,,,,,,,Packing Sizes,Variant 1 (Selling Price) 10kg,Variant 1 (MRP),Variant 2 Selling Price) 30kg,Variant 2 (MRP),,,,
AURA PLUS,Dinotefuran 15% + Pymetrozine 45% WG,AURA PLUS Dinotefuran 15% + Pymetrozine 45% WG Systemic Insecticide for Sucking Pests,"AURA PLUS Dinotefuran 15% + Pymetrozine 45% WG is a systemic insecticide designed to control sucking pests in crops.

Sucking insects like aphids, whiteflies, jassids, and thrips damage crops by feeding on plant sap, causing leaf curling, yellowing, and reduced yield.

This combination product is suitable for farmers who want strong and reliable control of sucking pests, especially during early and heavy infestation stages.

Technical Composition
Active Ingredient: Dinotefuran 15% + Pymetrozine 45% WG

Benefits of Dinotefuron 15%+pymetrozine 45% wg 
Effective control of major sucking pests
Dual action for better pest management
Stops pest feeding quickly
Long-lasting protection on crops
Helps reduce repeated spray cost
Supports healthy plant growth and yield
Suitable Crops
Recommended for use in:

Cotton
Paddy (Rice)
Chilli
Tomato
Brinjal
Okra
Vegetables
Dosage & Application Method
Application Type	Dosage
Per Liter Water	0.3 – 0.5 gm per Liter
Per Acre	100 – 120 gm per Acre
Method	Foliar Spray",https://drive.google.com/file/d/1VdKe-r5nJC_6PcHqEkvWlinaZ2RDoSJW/view?usp=drive_link,Krishikranti Organics,Chemical Insecticide,Chemical,In Stock,3.6,4,133gm,2505/kg (133gm x 50pcs),7100/kg,2450/kg (133gm x 100pcs),7100/kg,,,,
,,,,,,,,,,,250gm,2040/kg,6700/kg,2000/kg,6700/kg,,,,
,,,,,,,,,,,500gm,2005/kg,6600/kg,1950/kg,6600/kg,,,,
,,,,,,,,,,,1kg,1905/kg,6500/kg,1850/kg,6500/kg,,,,
